id,variant,view,action
88258,A,10,2
109938,A,3,1
117644,A,7,5
374080,A,9,9
662082,A,1,1
1132588,A,10,2
1138382,A,1,1
1236064,A,9,3
1385416,A,11,10
1563198,A,5,2
1616534,A,2,1
1785108,A,1,1
1834326,A,5,3
2266084,A,3,3
2320334,A,1,1
2363810,A,3,2
2371500,A,9,4
2372300,A,5,1
2372446,A,10,9
2380710,A,8,5
2397090,A,4,2
2422298,A,10,2
2475180,A,1,1
2489174,A,6,5
2489494,A,2,2
2501892,A,4,2
2513448,A,1,1
2524398,A,2,1
2529024,A,2,1
2549704,A,14,5
2567526,A,8,2
2567968,A,4,4
2587602,A,9,2
2587950,A,14,1
2601828,A,10,10
2602452,A,9,3
2607204,A,6,5
2617284,A,7,3
2622894,A,2,1
2639794,A,3,2
2658454,A,6,2
2690292,A,4,4
2707450,A,6,6
2708976,A,4,3
2712310,A,5,2
2718032,A,10,1
2720084,A,15,6
2725554,A,1,1
2744406,A,7,6
2761914,A,4,1
2771492,A,4,3
2772280,A,5,4
2772758,A,5,3
2775472,A,3,3
2778742,A,2,2
2784784,A,5,1
2786862,A,1,1
2821064,A,9,9
2887658,A,6,2
2888904,A,3,1
2903306,A,1,1
2912572,A,9,7
2918950,A,5,4
2923434,A,4,3
2925238,A,5,1
2926312,A,10,1
2958598,A,4,2
2969066,A,11,2
2970204,A,5,5
2989606,A,6,2
2995476,A,10,7
2999968,A,3,3
3000410,A,14,2
3007386,A,7,5
3008466,A,3,3
3010998,A,9,8
3033372,A,3,3
3036776,A,7,3
3039772,A,4,1
3046418,A,7,3
3068430,A,10,7
3075248,A,4,2
3100176,A,10,9
3103716,A,5,4
3109500,A,2,1
3110776,A,4,1
3126376,A,5,1
3130514,A,2,1
3144942,A,4,3
3160850,A,5,5
3161198,A,3,2
3162924,A,5,4
3169744,A,4,1
3170704,A,2,1
3170946,A,11,9
3174156,A,9,7
3185146,A,9,1
3185324,A,8,2
3210088,A,1,1
3210704,A,5,4
3215464,A,3,2
3215520,A,10,2
3233390,A,9,6
3249244,A,5,3
3274300,A,18,16
3292524,A,9,7
3313618,A,5,2
3315098,A,4,3
3331856,A,11,6
3333994,A,7,7
3336110,A,9,3
3339232,A,6,6
3341984,A,4,4
3348076,A,1,1
3356738,A,7,5
3374858,A,4,3
3381346,A,9,2
3382970,A,8,8
3383692,A,10,4
3389180,A,13,13
3406548,A,4,1
3411366,A,8,4
3411724,A,8,5
3424218,A,7,6
3425394,A,1,1
3425896,A,6,2
3434162,A,4,4
3443676,A,5,1
3453940,A,4,2
3457716,A,3,2
3459332,A,5,2
3466234,A,5,3
3484180,A,3,2
3511422,A,10,3
3523914,A,12,8
3524600,A,4,4
3527086,A,5,3
3530420,A,4,1
3532748,A,10,10
3540788,A,9,5
3556442,A,4,4
3558776,A,9,3
3560910,A,7,6
3590782,A,5,2
3594404,A,10,2
3617280,A,3,3
3647742,A,6,2
3648028,A,1,1
3653680,A,5,2
3658012,A,13,11
3659378,A,4,3
3674604,A,4,3
3676290,A,8,4
3677060,A,3,3
3680094,A,6,1
3705472,A,2,2
3713122,A,10,4
3715216,A,5,3
3716708,A,3,2
3728914,A,4,4
3737188,A,5,2
3741864,A,11,1
3747128,A,5,1
3752270,A,20,15
3755716,A,5,2
3763026,A,2,2
3781190,A,6,5
3782728,A,7,7
3815440,A,2,1
3846022,A,4,4
3849710,A,3,3
3851568,A,3,1
3851896,A,10,7
3854058,A,9,4
3888644,A,10,2
3896022,A,10,3
3897720,A,10,9
3915226,A,6,4
3930986,A,5,2
3936376,A,4,3
3940126,A,1,1
3942664,A,9,4
3944782,A,10,5
3948026,A,5,2
3958516,A,5,2
3960998,A,7,6
3961866,A,7,3
3969918,A,10,4
3977216,A,15,1
3977424,A,4,3
3981736,A,10,6
3987834,A,4,3
3988394,A,5,1
3989010,A,5,3
3989334,A,5,3
3995596,A,3,3
4004356,A,5,3
4014512,A,9,9
4015744,A,8,1
4018912,A,7,7
4023772,A,8,8
4024400,A,5,3
4024472,A,3,3
4030738,A,8,1
4031924,A,4,1
4033500,A,5,4
4035014,A,7,3
4035270,A,9,3
4037652,A,1,1
4042818,A,10,10
4043890,A,6,1
4044192,A,10,6
4046492,A,7,5
4048600,A,10,6
4048608,A,9,6
4049914,A,10,7
4052718,A,14,4
4060932,A,4,1
4061438,A,8,3
4062486,A,5,5
4066796,A,9,8
4066816,A,4,3
4071640,A,10,10
4071830,A,8,3
4076170,A,11,4
4079490,A,1,1
4080740,A,1,1
4083836,A,7,7
4086602,A,8,6
4088082,A,1,1
4090490,A,9,4
4093892,A,9,8
4100044,A,1,1
4104086,A,10,6
4110258,A,7,5
4113386,A,11,9
4114234,A,6,1
4114252,A,6,5
4114406,A,11,7
4116232,A,9,7
4118480,A,1,1
4119868,A,6,4
4122132,A,3,2
4123796,A,3,1
4125596,A,3,1
4126220,A,1,1
4128070,A,11,10
4128552,A,5,5
4133712,A,10,4
4133960,A,6,2
4136614,A,1,1
4142560,A,9,8
4144440,A,5,1
4144992,A,3,3
4145496,A,4,2
4145904,A,4,2
4146354,A,4,2
4146670,A,2,2
4146744,A,4,3
4153510,A,1,1
4154676,A,4,3
4162326,A,5,2
4166808,A,7,2
4173156,A,4,3
4178290,A,11,11
4179196,A,5,5
4180158,A,9,3
4188344,A,6,2
4189784,A,9,2
4190348,A,10,2
4190978,A,9,9
4191606,A,5,2
4191752,A,3,2
4192172,A,17,16
4193420,A,10,5
4195842,A,6,1
4198034,A,5,1
4198154,A,21,14
4199364,A,8,6
4202236,A,11,5
4202896,A,15,2
4212450,A,9,9
4214714,A,8,6
4217410,A,6,5
4217970,A,7,1
4223330,A,4,3
4228866,A,10,4
4229196,A,11,2
4234572,A,11,8
4246626,A,5,1
4247996,A,3,2
4248344,A,5,5
4255016,A,3,2
4255768,A,6,3
4271780,A,11,5
4273368,A,15,4
4273508,A,5,3
4279112,A,7,1
4279658,A,3,1
4287288,A,6,2
4309988,A,9,5
4311562,A,10,2
4317380,A,5,1
4318322,A,2,1
4318452,A,10,8
4324198,A,5,1
4324912,A,9,4
4330740,A,3,1
4330986,A,5,2
4332872,A,9,1
4337398,A,7,4
4338256,A,8,6
4338798,A,5,4
4339324,A,10,7
4346774,A,5,1
4347502,A,4,4
4350292,A,10,7
4351218,A,12,8
4351476,A,9,4
4353476,A,6,3
4355060,A,2,1
4356974,A,4,1
4364114,A,8,3
4374288,A,10,5
4378392,A,10,2
4378428,A,4,4
4379334,A,5,4
4386796,A,1,1
4387132,A,7,1
4389358,A,8,7
4395816,A,6,4
4396156,A,9,7
4396176,A,5,4
4400628,A,5,3
4401798,A,14,3
4403648,A,3,1
4405226,A,10,2
4405930,A,5,4
4417828,A,7,4
4423582,A,3,2
4424796,A,5,1
4442102,A,4,1
4446718,A,5,1
4447248,A,1,1
4454070,A,9,4
4455650,A,3,2
4460868,A,3,3
4465710,A,5,4
4467950,A,3,1
4469252,A,5,2
4472652,A,5,4
4473054,A,4,4
4476616,A,6,2
4478446,A,4,1
4479282,A,8,3
4479834,A,4,3
4482072,A,5,5
4483834,A,7,1
4485002,A,9,8
4486408,A,9,6
4490090,A,10,9
4496644,A,10,2
4499648,A,9,2
4501700,A,10,7
4506634,A,9,8
4507606,A,2,2
4510024,A,12,10
4516620,A,9,4
4520712,A,16,13
4521254,A,2,1
4522442,A,10,2
4525634,A,7,7
4528764,A,5,2
4530808,A,5,2
4537328,A,9,3
4544252,A,10,2
4544584,A,1,1
4544616,A,7,1
4544726,A,5,1
4544974,A,10,5
4549276,A,9,4
4549464,A,8,7
4550240,A,5,2
4551538,A,5,5
4553086,A,7,5
4557446,A,7,5
4563724,A,5,1
4564300,A,5,1
4565224,A,1,1
4565324,A,4,2
4566938,A,10,2
4568394,A,7,6
4569560,A,10,2
4570934,A,4,3
4571176,A,2,1
4571514,A,4,3
4574166,A,5,1
4574888,A,6,5
4577934,A,9,7
4578892,A,5,1
4579478,A,4,1
4579726,A,5,1
4579952,A,3,1
4580988,A,8,2
4581320,A,9,4
4587384,A,15,2
4587568,A,13,9
4588516,A,7,1
4588974,A,10,9
4589372,A,2,1
4594716,A,5,4
4597612,A,7,5
4598162,A,8,2
4598484,A,8,3
4598684,A,7,7
4601326,A,8,7
4602106,A,5,1
4602598,A,2,2
4610322,A,5,2
4610728,A,9,9
4613968,A,6,4
4617450,A,7,1
4620036,A,9,4
4620686,A,5,1
4620862,A,9,7
4622000,A,5,2
4626554,A,12,6
4627740,A,10,6
4627780,A,10,4
4628248,A,6,3
4628762,A,9,7
4628794,A,7,1
4629570,A,7,1
4630262,A,10,5
4630988,A,2,2
4633056,A,10,9
4633994,A,1,1
4634476,A,10,7
4634804,A,5,3
4635810,A,12,7
4637370,A,4,2
4642472,A,5,4
